reviewerID,overall,summary
A32E8LG6I4W2AI,4,good mic
AXABTEYS7A4A8,5,This Shure is a great mic
A67OJZLHBBUQ9,5,Shure.....
A1BN3DBBWLMT6V,5,Industry standard for live performance microphones.
A3AOB0VF6H0IF4,4,Good product for the price
A3DDZ2SENG07MS,4,standard
A2KI91IR3RA7D0,4,Good for vocals only!
A18P5I03P4U8AI,5,very very satisfied
A1AFH79R6W1QOQ,5,Great all-around vocal mic
A18C03TA8N26L4,5,"Great product, great supplier"
AQFOCVEBDCYU9,5,jazzgryl52
A1XXS0OSY2JLHW,5,Quality at a good price.
A319B090A2POEB,4,Good all around vocal mic
AW6A4PPENVZY3,4,Good
A34IJACMU8C3IM,4,Takes A Licking And Keeps On Ticking
A6FIAB28IS79,5,A Shure Bet.
A2INSN8Z69R0FK,4,Industry Standard
A32E8LG6I4W2AI,4,good mic
AJK15Q9JOEHRH,5,Good value for home recording
A1ESUYMIG3TZT0,5,Good cable for next to nothing
AKSFZ4G1AXYFC,4,Works as it should; for the person on a budget
A3AOB0VF6H0IF4,1,DIED after 45 days of use
A27DR1VO079F1V,1,Crap
A1L7M2JXN4EZCR,4,Does the job but there are better quality ones out there
A203OCQQ12MAVT,5,This gets 5 stars for value but doesn't use my favorite XLR end
A12YXGXV4MATDS,5,Very Satisfied
AQZ7HGW2FF4ED,4,"Feels cheap, but does the job."
A3E6FHS8DV037H,5,It Works
A3M48SSAOTBSMW,4,"Great product, Fast Service, Crazy Low Price"
A1K45HFFFDNP1A,4,Good cable
A12N7TJQR2RB9W,4,Decent XLR cable
A2CPP7BZKOF9TP,5,quality made
AOINAOO0NQRGN,4,Works well with guitar amps (if ou tighten the set screws)
A3DGMJN91IUKGU,5,Low Price for a Great Mic Cable
A3IZF3M92E7SI2,5,XLR male to XLR female Microphone Cable - 15 feet
A3EU3ET85O8ZFX,5,These cables are super!
AJK15Q9JOEHRH,5,Good rack screws at a good price
A2QJQ3HSJB4NS,5,They do the job
A1MVH1WLYDHZ49,4,GOOD PRODUCT
ARID6HRKRWGFW,5,It fits very good to rack holes
A35D9ODUCAMF5G,5,Yep- they are rack screws!
A1A64ANBPFSAT4,5,Better than the 2nd hand rack screws
A1RHGZOBDC3WQF,5,Nice Stylish Looking Screws for Rack Cabinets
A37AQI4AU3JWSR,5,Best rack screws for your money.
AUK79PXTAOJP9,5,Great
A2PN3GY7I3EKC1,5,25 Screws.... why not 24?  Even numbers would be nice.
A3CSSZ6U5J4YS5,5,As good as it gets
A1S0HTDO0P4N5V,5,Get Screwed!  That's what they are for!!
A2605LYSN10W9,5,Like it!
A7TRK2GG6BHWD,5,Best All Around Mic For Live Applications
AGYH5U11ZKPFB,5,Built like a hammer. Better than some hammers actually.
A26HM2R5529NYY,5,My Favorite Mic
A1K323WRUBGWC9,5,Better Than SM58
A17A1KTVI3DG6U,5,Beyond fantastic!
A2Z89YMZZJWBHS,5,Rock Solid
A1ARFA1NCN34UV,5,Best tremolo pedal for the money
A2EZWZ8MBEDOLN,3,Not bad but the Cool Cat line is $4 more and a better build
AXX6BZDD8K4JL,4,Gets the job done!
A3CR1EV98GQ87X,5,These old time food pedals are the best!
A5ZS85C5V40S8,4,Built cheap - Sounds great!
A3H4FCMNBYS09K,4,sounds great
A14VAT5EAX3D9S,5,Great
A2RVY2GDMZHH4,5,Always great Kyser
A109JTUZXO61UY,5,Great price.
A3EZEP0FX5BC1P,4,"It's cheap, easy, sturdy, and works"
A1SCWHXAB2ZK7N,5,Pretty and works nicely
AXWI0P2EGDEQT,5,The way a cap should be...
A26SN2CVQM4FKM,4,this was recommended to me by my teacher
A165EMA3YTIM6A,4,easy to use & beautiful
A1CNDQC2IXGEPN,5,Looks Great
A1S7QABO64Z554,5,Great 6-string Capo that works on 12-string as well
A1BH17V8BKLES,5,Solid Construction - Works well
A1CUB195YB9XKO,5,These are my favorites
A1JVHQXG7GST9J,5,Awesome product Looks Great on my American Flag themed guitar!
AZJPNK73JF3XP,4,Works well
A2C7BOQVFH1HLE,5,The Best Capo I've Ever Used!
A2IN5BKM9IQT6Z,5,This Gold Capo matches the gold keys of my guitar
A2XF1IANVPK7F,5,easy to grasp and use
A22LLQ00V32YZJ,5,This capo is as good as I've ever used and its in pink which ...
A56EP6FFRH1YT,4,Quickest changing capo
AFUXETAHFUXFE,5,Great
A1YA2BPU7CVNJD,4,Basic capo
A14PY68SX7D5DV,5,Best capo out there!
A2J4UAF6RW13WK,5,Perfect capos
AAGD3GA9ZVPLQ,2,It's OK but I wish I'd bought something else.
A3D0PD45BHLXFX,3,A reasonably decent capo that you can afford to leave somewhere
A1BTNPMESS99PL,5,Works great for my ukulele
AEN6KDJ3AJDK6,5,It's a capo
AOINAOO0NQRGN,5,And all together now...
A26E1V45R24QVC,4,"Good, effective capo"
A2EWLWNMF65J5X,5,2nd one
AQES9A9BCJ7CV,5,Great Capo.
AEMC16IPBZORW,5,Great capo for quick changes.
A2YTKPGZXFFKVK,4,NICE!!!!!!!!
A2FGSRTR4XFHMC,5,Excellent!!
A1786LAQ18LHDC,5,Good quality
A27UAE2PME5TRV,5,Convenience won
A1MH0P8PE6AT4P,5,Kyser makes the best!
A2IRI1NFJJJ6MZ,4,Kyser capo
A1VQHH85U7PX0,5,Works For Me!
A3V1A3C9DTLPME,4,They work pretty well.
A2D9QW4TY8CFB0,4,Kyser capo
A16Z3HTUIYPDH8,5,Industry Standard
A3GSQE0LXPG9YF,5,Great product. I love the capo they made
AB0XOMFCYELCK,3,Just an ok capo
A3BH9XC0BVO1AG,4,"Works well, looks nice, minor complaints"
A3NKSY3I0UW3KK,5,Capo
A3UQS40N3PW18L,5,excellent
AI45J5737CUGY,5,Beautiful piece
A18X6ZT4AEYVKB,5,pink
A3BZ9EP6SSC9MU,5,Nice Capo
A12SSZIN555FTL,4,not my taste
A2PDPIVN721PZ7,5,"Not the fullest tone, but you already knew that"
A5RJ7TM82RH0I,5,Sounds Perfect
A2IN5BKM9IQT6Z,4,Great strings
A21WZ0YAMX0NLE,5,Strings
A2E2CJWPL1YMAR,5,My fingers love these.
A1AWXXBQRQN13I,5,great strings that don't break the bank
A1IDPIC36H49JX,5,PK
A1LI9W7A0CYOHV,5,Best Acoustic Strings
A3EIML9QZO5NZZ,5,Best product
AEUG4DYQZJ64Z,5,"Good, I like it"
A165EMA3YTIM6A,4,My Third Pack
A3M4FU3WQWJHMP,4,Okay Strings for folk guitar
A34G1GTMQGEDUN,5,Love these guitar strings!
AQDHNCD25PFE6,5,Very Impressive product!
AN73VQ17FZVJ8,5,Sound good on a Dread too.
A1IDPIC36H49JX,5,PK
A3ADSZR7QAQ5U,3,Silk and steel strings
AZBUUKQLYKUCL,4,Sound great!
A22SZV0N4O2FQM,4,Nice little pick holder
A1QE7VZE507TO7,5,this is second batch i ordered
AOCBJFQ7UPEOJ,4,Love the concept
AH0XON4XDOF2C,2,ok pick holder
ALV33FTOC032I,3,OK
A3USVJXZXK7XRI,3,lot of money for foam
A2053ZJUGCKUA5,5,Very Good Pick Holder
A2D0F87RY5YMHN,5,A great gadget add on to my guitars.
AZE83O4F1IJPR,5,Handy.
A10H2F00ZOT8S2,4,Decent pick holder
A2VCXIAWCPQ13P,4,It's a wedgie
AXP7888CP2222,4,It Works!
AGDWVRFL81B4O,5,Back to order more
A1T4HGVX32QIYC,4,Good Product
A1TSW5IJ1LU0RP,5,Very cool
ASJAKT8DJIAC5,4,great for my lap steel guitar!
AN1RO6C6I78YO,5,A Very Good Selection
A3K96R872MUM3D,5,love it!
A2U1Z3TZ4P76JB,5,This guitar is beautiful!
A20L3BCRCICRSQ,3,My mistake for buying sight unseen.
A3G5BIFX6VS1OP,5,Fantastic guitar
A31RULW0KNYJ5H,4,Good for When You're Ready for Your Second Guitar
AG5L0MYSPPWDC,4,First electric guitar
A1SG6JGU7ISEH3,5,Quality guitar at a great price.
AVDW3OAVWWE05,5,"Epiphone LP-100 Les Paul Electric Guitar, Vintage Sunburst"
A2JZTK0WGJCMGN,5,Sweet Through and Through
AMU3EIC4EOPX4,5,very happy with my les paul
ATL0URQ0KUKGZ,5,The best guitar I have ever owned!!
A3DIN9E5QQZ6VT,5,Epi Les Paul Special 2 = AWESOME
A1LU9607CVAMIF,4,Nice for the money
A15TYOEWBQYF0X,5,After a proper set-up 5 stars  Damn nice guitar
A3MDQTWO6NOV1U,5,makes you sound like eric clapton...
A3IVULXGE2PB43,5,"Well-made, plays well."
A2MMH4O7EDNLCV,5,Good Value LP
A278CZM7C2OO8A,3,Nice Guitar but sounds
A2RIQKV4OOXME1,3,"3 Stars, Good value but it needed a lot of work"
A3MRBUCGH66JTY,5,Nice guitar and a great value
A2EDYSY4M8TESS,3,Not mahogany....
A1GUHIMGFE362L,5,Freakin' Sick!!
A2ZGEV4CTSCTIZ,5,Almost as good as my LP Studio deluxe plustop!
A3CMXRFIWQCBKQ,5,There's a reason it receives 5 star
A2NYK9KWFMJV4Y,5,Five stars for value and playability
A2AAS19L5VE69J,5,Sweet little G
A25ZBYVW8ZINLM,5,A Great Guitar for the Price
A3KBFCPNQ58YK4,2,Stays in tune better
A1UMOYYM8HB2A1,5,Beautiful and perfectly made!
A23AKO4BZLZ8DE,5,Amazing sound...nice price
A102MU6ZC9H1N6,5,"Epiphone LP Special II Les Paul Electric Guitar, Vintage Sunburst"
A18MMME07XZLYO,5,Just Amazing!!!
A3BTH66WVCQAM9,4,"Wonderful, but careful with the right angle"
AXXGP6UT41KAS,5,quiet get away
A26M5O53PHZTKN,4,Great idea...
A3ARSPDQYDZVNS,5,Great cable
ALAY8GVFBUQ9L,5,Good quality ...
A2Y8JW5NSY95OL,3,Great design - love the switch
A1AUDW7X02EEPJ,5,Great Quality!
A3KKTTJACRWL16,5,Awesome!
A3VIIH9ZNJ823H,3,Disapointed in Planet Waves
A3AT69S9R8ZWGT,5,Planet Waves 15-Foot Circuit Breaker 1/4-Inch Instrument Cable
A3IKOEE8Z3T6BH,5,What a Boss!
A21Q29J3ZWPDNP,5,Been part of my rig since 1996
A2BK5M8IYNF7CV,5,Amaizing
A1EX4410F46C8O,5,You'll never buy another chorus pedal
A2CMX45JPSCTUJ,5,Boss CH-1 Super Chorus Pedal
A2XVE2J5WGCSGX,5,"Boss is ""Boss"""
AW97HQETLQ25Y,4,Sustainer
A1365RYO0BLEMI,4,Great Pedal but YOU WILL need a noise gate.
AHCJAJO18KRP1,5,just perfect!
A2CMX45JPSCTUJ,4,Boss CS3 Compressor
ADH0O8UVJOT10,4,"Good, but not great sustain/leveler effect from BOSS"
A2XVE2J5WGCSGX,5,Great Unit
A22Z554ZQ8NFPC,5,Does what it's supposed to do very well
A2EZWZ8MBEDOLN,4,Solid pedal for a moderate amount of  'tight' sounding distortion
A3J2PKECNUGEHO,5,"Distorts sound, just like it says"
APB6VJX5CNR5C,5,Must have
A21Q29J3ZWPDNP,5,Classic pedal and a must have for anyone who plays electric!
A2B58VXLLOFQKR,1,It distorts
A2IDOKLAT1MP8X,4,The go to distortion pedal
AJBBU53A0X84I,5,I like the sound of this pedal.
A1GMWTGXW682GB,5,The classic Boss distortion pedal for $40
A27L5L6I7OSV5B,2,Wish I knew then what I know now...
A3KBFCPNQ58YK4,1,Beginners Beware
A3HEV9M5RNFB3V,4,Nice pedal
A3EIML9QZO5NZZ,5,Boss is the Boss
A1N4PW6FTMBUSQ,3,The most basic of basic distortion pedals
A205483DF7XVDE,5,Great pedal
ADH0O8UVJOT10,4,"Nostalgia, Durability, and Affordability...but not elite tone"
A3OEBPVLF35YQL,3,"It's been around for decades, but....."
A2F92AOWTIUIB,5,Truly one of the best.
AZ0LJNEP2VRD1,5,Great for old-time distortion
AUUI1FKERRMV2,5,Great 1st Pedal (updated)
AJK15Q9JOEHRH,4,Good metal pedal but a bit muddy and sucks tone
A1CD7IUM2JRPY1,4,Still the best.
A3S737ZGWE1GKY,4,THE Metal Pedal
A21Q29J3ZWPDNP,5,Very useful pedal to have.
AEMC16IPBZORW,5,Great for metal and rock guitar.
A3MXU3CH4BJ465,5,Great
A1NAA1R38JSNHV,5,BEST PEDAL BY FAR
A1EX4410F46C8O,4,One of the better distortion pedals
A1GMWTGXW682GB,4,"Versatile pedal for distortion, but not the best."
A3BMYEA3J6RBVV,5,Friend loved it very much
A3872Y2XH0YDX1,5,a great pedal
A73CB1NVPYDZ5,4,Versatile
A18P5I03P4U8AI,5,overall a great pedal!
A2RS66Y79Q8X0W,5,Great Pedal
A3CNFMV0IISC3C,3,"Great, just not what I was looking for in sound"
A206T0W1VE8K1Q,5,AMAZING!!*
A31HQD6H4SHO2C,5,boss overdrive
A2EZWZ8MBEDOLN,4,Nice pedal !
APEJ8EJCC8PQ8,4,Sharp and Cutting
A21Q29J3ZWPDNP,5,Great boost to your amps overdrive
A3DDG0WH5SBF34,5,Classic overdrive established over 20 yrs ago
A1GMWTGXW682GB,4,Good value and works well with solid state and valve amps
A17CU1D2CWXOHB,5,The Yellow pedal everyone should have.
A2VXKVJV7KIGMD,5,Great Pedal
ADH0O8UVJOT10,5,"A versatile, overlooked classic overdrive from BOSS"
A3JEEPYPEM9V81,5,For a boost and more
AZ0LJNEP2VRD1,5,A gem!
AWIG50VOI5VUV,5,EXCELLENT PEDAL
A34O0KQV4QXWNQ,5,Easily One Of My Favorite Tremolo Pedals
ALAY8GVFBUQ9L,5,Nice tremelo peday.
A8ANJNZAZQ6IQ,5,Great Tremolo from Boss
A1V7G6OGGW7AGA,5,Great pedal!
AZ0LJNEP2VRD1,5,Superb
AH2F47XZ5L8NR,5,Nice Basic Tremolo Sounds
A1ARFA1NCN34UV,5,cheaper alternative
A165EMA3YTIM6A,3,Using it for Danelectro Mini Amp
A2FXCGHJLVQTIX,5,It works
AEMC16IPBZORW,5,Great for any Danlectro product.
A2B58VXLLOFQKR,5,excellent quiet pedal power
A356RFKNIG043B,5,The perfect guitar pedal adapter
A1C60KQ8VJZBS5,4,Works great with the Danelectro Honeytone
A3D42ZX96FA6EW,5,This...
A3MJARDJ31M698,5,Works
A26RLGZUUENC6E,5,quiet as a mouse
A2C2TKHICAZ4RS,5,Great affordable Wah wah pedal
A22Z554ZQ8NFPC,5,The best
A4BTCECGQAIUI,5,good
A7E0CJH464L82,5,Now that's a wah wah!
A13A81NN0NRD1S,4,"GREAT TONE, but moody switch!"
A1YAAMQT5G88XE,5,Mod it
A1UPZM995ZAH90,5,Dunlop The Original Crybaby Pedal
AN1RO6C6I78YO,5,Everything I Ever Expected...
A1BH17V8BKLES,4,Takes a licking and keeps on.... Wahing
A1JNV4K56GG94R,5,It Cries
A73CB1NVPYDZ5,3,Step to turn on/off
A37A41GWQFMK3D,5,I love it.  works great.  so many possibilities
A3IKOEE8Z3T6BH,5,Original is still #1
A3E7O9NSS47TE8,5,Nothing sounds like the classics!
A3APKXMNJAEDQM,5,The Original
A1M3XD9UV3PD3I,2,Dunlop The Original CryBaby Pedal
A1IB42LRNA9QLW,4,Thouroughly unimpressed.
A1EX4410F46C8O,3,serious musicians look elsewhere
A8MQNZK3J0UEX,4,The legend lives on...
A3RHT4KI3H5TVH,5,cry baby cry...
A25ZBYVW8ZINLM,5,A Classic!
A1H4EBBOM66MQ0,3,Too much noise
A24VMSBJAWFRCP,5,It's a classic for a reason.
ADH0O8UVJOT10,3,Durability Issues with Potentiameter
AXXGP6UT41KAS,5,No BUZZ great convenience
AKHWZ3S1UVZAO,5,Best 12-String Capo Ever
A2D0F87RY5YMHN,5,Kyser Caps Are An Easy Recommendation
A39TYRIZLTCK9P,4,good buy
A2RVY2GDMZHH4,5,Absolute necessity
AJGD0VSCUJUP5,5,Never can go wrong with Kyser
A3EZEP0FX5BC1P,5,A very good ukulele capo
A3C9F3SZWLWDZF,5,Its a Capo.
AHMEG9CAAT2KF,4,I'm new to a capo
AREHEVC8J64QA,5,Perfect Fit for my Ukulele
A3775OP5VTX5ON,4,"WOw, wow wow, for ukulele.: but one caveat!"
A306YUQBEB2R9T,5,Good capo for small instrument..
A10NJEIG56RHN5,5,Works Great
A2SFO875EQ66AB,5,Kyser Ukulele Capo
A28FADP9FITQVK,5,Great
A24JUT24W1K3CV,3,Not Enough Pressure For A Mandolin
A136M3QYHUVN9A,5,"Kyser Banl, Mandolin Capo"
A3IELJ39K3QL7,5,"Seems well built, practical"
A24AQ24CD6865K,4,It's a capo
A2J4GBHSDLP4DF,5,Kyser Is The Cadillac
A7KIY7RDFHRN9,5,One of the best mandolin/banjo capos out there
A13NZBZQ7ZZG5O,5,Couldn't Ask for More!
AJK15Q9JOEHRH,5,Best Straplocks
A1CD7IUM2JRPY1,4,Probably the best strap lock system ever IMHO
A3S737ZGWE1GKY,4,"They work fine, so far. But still scared o.o"
A13A81NN0NRD1S,4,"Does NOT fit Gibson SG, Fender Strat seems good"
A26SN2CVQM4FKM,4,work fine kinda protruding
A32264FNDHOH3Q,5,work great
A2Y1R8CZMTALJP,5,Life saver
A1EUO0BU72JR7T,4,I Prefer Scahllers...
A2A039TZMZHH9Y,5,Work Great
A2GC5JELY3N07V,5,Easy to install and use
A1UPZM995ZAH90,5,By far the best strap lock option
A11INIL2YFJ137,5,Love em
A23033Q9WZBG4V,5,Nice locks
A1HPC4BDRLR60,5,"Simple, easy to install"
